sample	gisaid_epi_isl	genbank_accession
Switzerland/TI-EOC-022_25935701/2021	EPI_ISL_2544232	?
Switzerland/VD-CHUV-GEN7416/2021	EPI_ISL_10451195	?
Switzerland/VD-ETHZ-0000321/2020	EPI_ISL_14689928	?
Turkey/HSGM-D25249/2021	EPI_ISL_3688429	?
Turkey/HSGM-E18974/2021	EPI_ISL_6587492	?
Turkey/HSGM-GF14777/2021	EPI_ISL_3393251	?
USA/AL-CDC-LC0205994/2021	EPI_ISL_4162023	?
USA/CA-CDC-ASC210009170/2021	EPI_ISL_1562025	MW994209.1
USA/CA-CDC-ASC210088296/2021	EPI_ISL_5520153	?
USA/CA-CDC-ASC210393154/2021	EPI_ISL_7923286	?
USA/CA-CDC-ASC210443167/2021	EPI_ISL_6537924	?
USA/CA-CDC-FG-106303/2021	EPI_ISL_5797109	?
USA/CA-CDC-FG-128810/2021	EPI_ISL_4567707	?
USA/CA-CDC-LC0128261/2021	EPI_ISL_4159990	?
USA/CA-CDPH-2000012419/2020	EPI_ISL_7857391	?
USA/CA-CDPH-2000024400/2021	EPI_ISL_5695708	?
USA/CA-CDPH-2000046874/2021	EPI_ISL_2977052	?
USA/CA-CDPH-3000149480/2021	EPI_ISL_5158340	?
USA/CA-CDPH-500002802/2021	EPI_ISL_5442217	?
USA/CO-CDC-MMB10373297/2021	EPI_ISL_5084185	?
USA/CO-CDPHE-2004050018/2020	EPI_ISL_5439504	?
USA/CO-CDPHE-2101765286/2021	EPI_ISL_5032083	?
USA/CO-CDPHE-2102167653/2021	EPI_ISL_6910712	?
USA/CO-CDPHE-2102233460/2021	EPI_ISL_7332479	?
USA/CO-CDPHE-40849446/2021	EPI_ISL_3159819	?
USA/CT-CDC-LC0207134/2021	EPI_ISL_4165638	?
USA/FL-CDC-QDX25434176/2021	EPI_ISL_2526757	?
Canada/NS-NML-1913/2020	EPI_ISL_1666769	?
Canada/NS-NML-2090/2020	EPI_ISL_1666812	?
Canada/QC-1nIOU-A2031141/2020	EPI_ISL_7686913	?
Canada/QC-1nIOU-A5151699/2021	EPI_ISL_2821743	?
