sample	gisaid_epi_isl	genbank_accession
USA/CA-CDC-FG-112711/2021	EPI_ISL_4243589	?
USA/CA-CDC-FG-125361/2021	EPI_ISL_4457588	?
USA/CA-CDPH-2000007153/2020	EPI_ISL_12056752	?
USA/CA-CDPH-2000013228/2020	EPI_ISL_12057533	?
USA/CA-CDPH-3000032849/2021	EPI_ISL_2891875	?
USA/CA-CDPH-3000122438/2021	EPI_ISL_8400854	?
USA/CA-CDPH-6000010008/2021	EPI_ISL_16346126	?
USA/CA-CZB-32408/2021	EPI_ISL_2497665	?
USA/CO-CDPHE-2101526187/2021	EPI_ISL_4301532	?
USA/CO-CDPHE-2101529602/2021	EPI_ISL_4301348	?
USA/FL-BPHL-17845/2021	EPI_ISL_7881489	?
USA/FL-CDC-LC0082017/2021	EPI_ISL_2926258	?
USA/GA-CDC-LC00001203/2020	EPI_ISL_888068	?
USA/ID-IVREF-809522/2020	EPI_ISL_12038727	?
USA/IL-CDC-ASC210026890/2021	EPI_ISL_1688242	MZ024672.1
USA/KS-CDC-LC0043836/2021	EPI_ISL_1684858	MZ039487.1
USA/LA-BIE-LSUH001902/2021	EPI_ISL_3546263	?
USA/MA-CDC-STM-000012777/2021	EPI_ISL_1134294	?
USA/MD-CDC-ASC210199352/2021	EPI_ISL_5775701	?
USA/MD-MDH-4341/2021	EPI_ISL_4211314	?
USA/MN-Mayo-12864/2020	EPI_ISL_13596749.2	?
USA/MN-Mayo18533/2021	EPI_ISL_13675979.2	?
USA/NV-NSPHL-390515/2021	EPI_ISL_3825130	?
USA/NY-CDC-2-4308943/2021	EPI_ISL_2018246	MZ164674.1
USA/NY-URMC-21093995-1/2021	EPI_ISL_10429467	?
USA/OH-2021055044/2021	EPI_ISL_9150648	?
USA/OK-CDC-2-3829901/2020	EPI_ISL_1094340	MW708083.1
USA/OR-OHSU-4941/2020	EPI_ISL_2838890	?
USA/TX-CDC-ASC210096060/2021	EPI_ISL_4377701	?
USA/TX-CDC-ASC210138802/2021	EPI_ISL_4990587	?
USA/TX-CDC-FG-104421/2021	EPI_ISL_4028418	?
USA/TX-CDC-FG-121688/2021	EPI_ISL_4454618	?
USA/TX-HMH-MCoV-21198/2021	EPI_ISL_1075642	?
USA/TX-HMH-MCoV-31446/2020	EPI_ISL_2190050	?
USA/TX-TCH-TCMC00636-0721/2021	EPI_ISL_3149020	?
USA/UT-UPHL-211016691964/2021	EPI_ISL_5330918.2	?
USA/VA-CDC-IBX975439264996/2021	EPI_ISL_4903303	?
USA/VA-CDC-LC0000691/2020	EPI_ISL_1028759	MW635583.1
USA/VA-DCLS-10061/2021	EPI_ISL_15426074	?
USA/VA-VCUVAS3-PWLZ766606/2021	EPI_ISL_6147649	?
USA/WA-S2913/2020	EPI_ISL_596444	MW173458.1
USA/WA-UW-65905/2021	EPI_ISL_1263538	?
Wales/PHWC-482187/2020	EPI_ISL_611581	?
Wales/PHWC-PYGI7K/2021	EPI_ISL_2707850	?
