locus
loc39074
loc23344
loc17940
loc18550
loc21231
loc26927
loc26429
loc45839
loc00425
loc34842
loc04629
loc27681
loc20099
loc14723
loc30408
loc06055
loc13505
loc20375
loc13251
loc15430
loc35169
loc34465
loc20444
loc38562
loc26635
loc21524
loc38730
loc36818
loc12602
loc41542
loc02125
loc15054
loc24971
loc00729
loc41670
loc28912
loc40213
loc06483
loc20618
loc24081
loc30560
loc21150
loc27527
loc03663
loc33634
loc22243
loc04107
loc12063
loc07025
loc00277
loc14948
loc37887
loc08967
loc25880
loc24084
loc27305
loc22319
loc40869
loc39034
loc38565
loc46978
loc25776
loc37584
loc49376
loc38738
loc42480
loc03286
loc25756
loc23300
loc07632
loc06238
loc22148
loc41861
loc26384
loc08278
loc03137
loc45738
loc33939
loc49945
loc07372
loc19336
loc06122
loc06422
loc42985
loc00580
loc00325
loc06090
loc03215
loc38891
loc26657
loc15750
loc30043
loc46796
loc22921
loc05966
loc20623
loc17331
loc34543
loc01764
loc15034
loc35135
loc44696
loc10961
loc45078
loc21779
loc37911
loc10037
loc30568
loc25574
loc48408
loc18776
loc24109
loc21600
loc19348
loc48991
loc49853
loc28823
loc37235
loc11910
loc39655
loc27596
loc40837
loc43825
loc24172
loc10234
loc17161
loc45508
loc26137
loc19415
loc16062
loc48211
loc02696
loc35401
loc24542
loc02874
loc24312
loc24677
loc36482
loc11717
loc22017
loc37462
loc23966
loc36600
loc04979
loc04553
loc24170
loc22395
loc42098
loc34986
loc33855
loc26107
loc04448
loc30849
loc27657
loc22216
loc01469
loc15564
loc14260
loc04051
loc16789
loc44467
loc09430
loc42731
loc41747
loc12151
loc27470
loc42742
loc25501
loc33700
loc04827
loc30899
loc34306
loc29519
loc15821
loc19601
loc06414
loc24201
loc01495
loc49234
loc26554
loc03959
loc48421
loc19187
loc47644
loc46903
loc43462
loc13054
loc42210
loc32432
loc31213
loc09220
loc31397
loc13332
loc30679
loc39843
loc40051
loc42050
loc15229
loc18144
loc22622
loc25265
loc20465
loc04404
loc08037
loc42801
loc42460
loc49438
loc01762
loc01052
loc03034
loc21630
loc03095
loc09513
loc17205
loc32688
loc16144
loc31510
loc38677
loc36575
loc39416
loc29620
loc45150
loc33768
loc32846
loc43623
loc45111
loc28291
loc45775
loc41169
loc06486
loc24432
loc29813
loc10476
loc33209
loc15862
loc12423
loc43360
loc08308
loc18711
loc28690
loc24901
loc43385
loc36173
loc03033
loc20914
loc10990
loc46419
loc14975
loc36816
loc15090
loc48329
loc23536
loc44614
loc09555
loc39980
loc29223
loc09924
loc25738
loc25446
loc41483
loc36354
loc44012
loc43119
loc41428
loc18779
loc29026
loc44099
loc43292
loc26884
loc45483
loc26005
loc31338
loc45456
loc22357
loc14756
loc24420
loc22031
loc06866
loc27703
loc24928
loc46069
loc12491
loc02854
loc26499
loc02102
loc46344
loc49369
loc40787
loc03411
loc27617
loc25847
loc28723
loc32963
loc31874
loc33737
loc29118
loc00979
loc02620
loc34891
loc37313
loc26529
loc43873
loc25261
loc13105
loc20751
loc44726
loc21117
loc13230
loc07319
loc13563
loc36256
loc49112
loc03270
loc44735
loc27796
loc48885
loc39635
loc45368
loc48035
loc00780
loc14015
loc07527
loc24397
loc45251
loc36470
loc42238
loc02681
loc11465
loc44264
loc25754
loc31502
loc10261
loc43207
loc49793
loc11054
loc22011
loc14063
loc28265
loc00153
loc33095
loc36632
loc38925
loc30653
loc25967
loc02193
loc02186
loc06386
loc26068
loc09937
loc04812
loc26063
loc13448
loc20707
loc38041
loc08185
loc48908
loc43795
loc35280
loc20973
loc36935
loc41779
loc16146
loc14915
loc11239
loc48862
loc21369
loc29020
loc08305
loc18197
loc03373
loc06669
loc49178
loc39129
loc43923
loc47861
loc26583
loc05480
loc39693
loc08999
loc06388
loc39456
loc10610
loc45511
loc39125
loc13220
loc13872
loc40462
loc31562
loc08511
loc33106
loc14599
loc02142
loc21746
loc07788
loc18379
loc03938
loc27219
loc02993
loc16651
loc40140
loc18772
loc42135
loc29640
loc39755
loc36668
loc32190
loc29690
loc49053
loc33416
loc42726
loc25937
loc16455
loc23683
loc16962
loc24749
loc27945
loc24681
loc02561
loc39385
loc18003
loc34813
loc08139
loc14937
loc39736
loc17005
loc41444
loc16178
loc07591
loc19008
loc24919.2
loc20324
loc18989
loc07073
loc37712
loc17869
loc36171
loc09520
loc22508
loc24411
loc32647
loc03496
loc46329
loc10314
loc37379
loc24209
loc21906
loc02020
loc00714
loc01689
loc18877
loc17827
loc41632
loc06192
loc19272
loc20379
loc03574
loc36410
loc29940
loc42593
loc31612
loc14092
loc38200
loc12928
loc42744
loc40178
loc46294
loc25554
loc18038
loc34545
loc33945
loc01191
loc35759
loc28614
loc12348
loc04798
loc48673
loc01947
loc31594
loc45422
loc09148
loc31994
loc23122
loc43759
loc32169
loc46165
loc17626
loc17993
loc31507
loc02895
loc25192
loc22518
loc15829
loc06097
loc03092
loc00672
loc29450
loc49518
loc29396
loc20229
loc24790
loc24505
loc49899
loc28931
loc41582
loc45502
loc14036
loc37476
loc18098
loc20418
loc07400
loc31293
loc17584
loc23353
loc21428
loc36138
loc48872
loc27760
loc28067
loc28390
loc28432
loc09716
loc17052
loc30715
loc40236
loc15315
loc29809
loc06615
loc34458
loc15130
loc44065
loc37289
loc05647
loc15951
loc06526
loc49830
loc46156
loc31463
loc11712
loc28804
loc15294
loc21324
loc44261
loc14653
loc41975
loc01722
loc13620
loc22830
loc43870
loc04587
loc47144
loc01731
loc43616
loc37430
loc37453
loc28701
loc01755
loc33286
loc24574
loc31781
loc14351
loc12734
loc02613
loc11882
loc14848
loc18043
loc02162
loc19134
loc13040
loc23757
loc13865
loc17853
loc34402
loc24092
loc02522
loc36634
loc15544
loc48278
loc33769
loc24392
loc11888
loc46854
loc38934
loc11620
loc06289
loc20058
loc12166
loc06858
loc33469
loc17916
loc06021
loc11818
loc13272
loc01050
loc27889
loc34226
loc13907
loc00902
loc13017
loc43768
loc21209
loc38374
loc07460
loc02797
loc13334
loc10155
loc44009
loc04133
loc38185
loc45184
loc25904
loc38433
loc00494
loc17838
loc39962
loc37474
loc16404
loc01359
loc34784
loc25762
loc36519
loc02648
loc06849
loc32948
loc08512
loc19630
loc36533
loc09269
loc38711
loc44643
loc40982
loc48573
loc17885
loc48183
loc07091
loc08957
loc42808
loc30502
loc17173
loc45943
loc43206
loc00534
loc37846
loc39240
loc49288
loc14477
loc23707
loc38099
loc34620
loc08646
loc30180
loc08215
